交易日,合约,排名,成交量排名,,,持买单量排名,,,持卖单量排名,,
,,,会员简称,成交量,比上一交易日增减,会员简称,持买单量,比上一交易日增减,会员简称,持卖单量,比上一交易日增减
20260410,IC2609,1,中信期货(代客),8488,1449,中信期货(代客),11438,555,海通期货(代客),10586,368
20260410,IC2609,2,国泰君安(代客),7107,886,国泰君安(代客),7770,257,国泰君安(代客),9906,514
20260410,IC2609,3,海通期货(代客),4337,469,一德期货(代客),4675,-661,中信期货(代客),8084,903
20260410,IC2609,4,东证期货(代客),2976,590,海通期货(代客),3031,561,华泰期货(代客),6696,-1
20260410,IC2609,5,国信期货(代客),1440,460,宝城期货(代客),2551,61,广发期货(代客),2676,50
20260410,IC2609,6,华闻期货(代客),1434,66,华泰期货(代客),2314,410,瑞银期货(代客),2540,500
20260410,IC2609,7,中泰期货(代客),1292,184,东证期货(代客),2182,377,东证期货(代客),2414,269
20260410,IC2609,8,华泰期货(代客),1185,271,浙商期货(代客),1949,-46,中信建投(代客),2137,2
20260410,IC2609,9,瑞达期货(代客),886,130,永安期货(代客),1866,106,摩根大通(代客),2027,7
20260410,IC2609,10,一德期货(代客),809,-285,银河期货(代客),1804,101,方正中期(代客),1726,-180
20260410,IC2609,11,银河期货(代客),784,168,广发期货(代客),1752,37,银河期货(代客),1563,139
20260410,IC2609,12,方正中期(代客),587,59,光大期货(代客),1574,70,国投期货(代客),1479,26
20260410,IC2609,13,中信建投(代客),582,233,国联期货(代客),1506,89,兴业期货(代客),1401,5
20260410,IC2609,14,光大期货(代客),552,-34,国投期货(代客),1391,-61,国信期货(代客),1198,22
20260410,IC2609,15,瑞银期货(代客),518,339,大地期货(代客),1355,30,申银万国(代客),1191,33
20260410,IC2609,16,广发期货(代客),503,49,金瑞期货(代客),1284,-28,中银期货(代客),1097,287
20260410,IC2609,17,北京首创(代客),502,388,长江期货(代客),1120,28,华闻期货(代客),1094,59
20260410,IC2609,18,浙商期货(代客),495,-34,中泰期货(代客),943,176,中泰期货(代客),1092,216
20260410,IC2609,19,中财期货(代客),449,260,招商期货(代客),862,8,招商期货(代客),1079,-93
20260410,IC2609,20,兴证期货(代客),422,173,瑞达期货(代客),814,175,光大期货(代客),1062,76
