open,high,low,close,volume
1128.0,1145.06,1116.0,1130.0,148099.16
1117.0,1117.0,1076.9,1078.56,130318.78
1070.86,1092.9,1067.3,1077.99,63414.78
1077.5,1099.0,1076.4,1094.53,47853.59
1085.05,1095.5,1082.58,1088.14,25008.25
1094.0,1105.39,1090.0,1102.7,37405.87
1109.0,1115.99,1102.5,1112.5,35975.87
1112.5,1129.2,1112.0,1124.27,38515.75
1124.2,1124.89,1103.0,1107.4,35144.65
1109.01,1121.6,1105.0,1112.13,26029.11
1118.87,1118.87,1102.58,1107.0,23191.65
1110.0,1112.78,1101.01,1107.5,23472.75
1111.86,1111.86,1082.0,1091.0,35391.3
1081.0,1087.0,1072.3,1075.3,32874.05
1070.0,1084.0,1055.38,1075.51,36200.04
1076.0,1076.0,1037.0,1052.8,53468.43
