,total_long,total_short,net_short,total_oi,net_short_ratio,concentration_top5_short,concentration_top5_long,date,symbol,signal_level
670,12257,12746,489,25003,1.96,136.91,138.92,2018-01-11,IC1801,多头占优
671,11448,11718,270,23166,1.17,138.03,138.88,2018-01-12,IC1801,多头占优
672,10904,10913,9,21817,0.04,137.5,138.69,2018-01-15,IC1801,多头占优
673,8687,8989,302,17676,1.71,140.06,141.28,2018-01-16,IC1801,多头占优
674,6343,6543,200,12886,1.55,138.88,137.7,2018-01-17,IC1801,多头占优
675,3424,3429,5,6853,0.07,139.63,138.73,2018-01-18,IC1801,多头占优
676,0,0,0,0,0.0,0.0,0.0,2018-01-19,IC1801,多头占优
677,11794,12427,633,24221,2.61,138.79,140.27,2018-01-22,IC1802,多头占优
678,11780,12387,607,24167,2.51,140.46,140.39,2018-01-23,IC1802,多头占优
679,12294,13077,783,25371,3.09,141.52,139.67,2018-01-24,IC1802,多头占优
680,11834,12509,675,24343,2.77,142.43,139.35,2018-01-25,IC1802,多头占优
681,11502,12376,874,23878,3.66,142.05,139.6,2018-01-26,IC1802,多头占优
682,11468,12030,562,23498,2.39,140.22,140.7,2018-01-29,IC1802,多头占优
683,10943,11501,558,22444,2.49,140.54,141.64,2018-01-30,IC1802,多头占优
684,11177,11264,87,22441,0.39,136.78,140.66,2018-01-31,IC1802,多头占优
685,11635,11710,75,23345,0.32,135.5,139.76,2018-02-01,IC1802,多头占优
686,11274,11076,-198,22350,-0.89,138.45,139.21,2018-02-02,IC1802,空头力量偏弱
687,10647,10433,-214,21080,-1.02,139.53,139.98,2018-02-05,IC1802,空头力量偏弱
688,11085,10467,-618,21552,-2.87,138.79,137.93,2018-02-06,IC1802,空头力量偏弱
689,11146,10597,-549,21743,-2.52,140.17,139.21,2018-02-07,IC1802,空头力量偏弱
690,10114,9651,-463,19765,-2.34,143.14,139.07,2018-02-08,IC1802,空头力量偏弱
691,9371,9406,35,18777,0.19,145.61,138.7,2018-02-09,IC1802,多头占优
692,7400,7444,44,14844,0.3,149.91,137.96,2018-02-12,IC1802,多头占优
693,4989,5164,175,10153,1.72,152.36,138.56,2018-02-13,IC1802,多头占优
694,2649,2874,225,5523,4.07,150.9,138.28,2018-02-14,IC1802,多头占优
695,17463,17326,-137,34789,-0.39,144.44,141.89,2018-02-22,IC1803,空头力量偏弱
696,17611,17481,-130,35092,-0.37,144.02,143.05,2018-02-23,IC1803,空头力量偏弱
697,17463,17377,-86,34840,-0.25,143.24,142.2,2018-02-26,IC1803,空头力量偏弱
698,17265,16895,-370,34160,-1.08,141.91,143.13,2018-02-27,IC1803,空头力量偏弱
699,17298,16894,-404,34192,-1.18,140.84,142.33,2018-02-28,IC1803,空头力量偏弱
700,17111,16725,-386,33836,-1.14,139.31,141.63,2018-03-01,IC1803,空头力量偏弱
701,16766,16582,-184,33348,-0.55,140.02,141.92,2018-03-02,IC1803,空头力量偏弱
702,16097,15759,-338,31856,-1.06,140.03,141.86,2018-03-05,IC1803,空头力量偏弱
703,15911,15670,-241,31581,-0.76,139.5,139.34,2018-03-06,IC1803,空头力量偏弱
704,15169,14777,-392,29946,-1.31,139.04,140.65,2018-03-07,IC1803,空头力量偏弱
705,14726,14433,-293,29159,-1.0,138.35,139.28,2018-03-08,IC1803,空头力量偏弱
706,13690,13507,-183,27197,-0.67,139.11,136.49,2018-03-09,IC1803,空头力量偏弱
707,11839,11705,-134,23544,-0.57,139.6,136.85,2018-03-12,IC1803,空头力量偏弱
708,10284,10316,32,20600,0.16,140.66,135.23,2018-03-13,IC1803,多头占优
709,8114,8000,-114,16114,-0.71,142.9,136.11,2018-03-14,IC1803,空头力量偏弱
710,4354,4323,-31,8677,-0.36,142.84,137.99,2018-03-15,IC1803,空头力量偏弱
711,0,0,0,0,0.0,0.0,0.0,2018-03-16,IC1803,多头占优
712,11851,12207,356,24058,1.48,141.37,135.77,2018-03-19,IC1804,多头占优
713,11978,12517,539,24495,2.2,141.54,136.22,2018-03-20,IC1804,多头占优
714,12503,13050,547,25553,2.14,139.78,137.25,2018-03-21,IC1804,多头占优
715,12967,13781,814,26748,3.04,140.43,136.52,2018-03-22,IC1804,多头占优
716,13648,14218,570,27866,2.05,141.04,139.18,2018-03-23,IC1804,多头占优
717,13478,14152,674,27630,2.44,141.47,139.52,2018-03-26,IC1804,多头占优
718,14034,14466,432,28500,1.52,142.19,138.52,2018-03-27,IC1804,多头占优
719,14943,15182,239,30125,0.79,140.2,138.02,2018-03-28,IC1804,多头占优
720,15041,15507,466,30548,1.53,140.07,138.19,2018-03-29,IC1804,多头占优
721,14983,15419,436,30402,1.43,140.55,138.12,2018-03-30,IC1804,多头占优
722,15409,15643,234,31052,0.75,140.66,139.7,2018-04-02,IC1804,多头占优
723,15557,15748,191,31305,0.61,140.57,139.15,2018-04-03,IC1804,多头占优
724,15640,15508,-132,31148,-0.42,140.09,139.49,2018-04-04,IC1804,空头力量偏弱
725,15609,15351,-258,30960,-0.83,140.13,139.93,2018-04-09,IC1804,空头力量偏弱
726,15428,15150,-278,30578,-0.91,140.28,140.06,2018-04-10,IC1804,空头力量偏弱
727,14728,14342,-386,29070,-1.33,140.71,140.7,2018-04-11,IC1804,空头力量偏弱
728,14195,13824,-371,28019,-1.32,140.1,140.85,2018-04-12,IC1804,空头力量偏弱
729,13549,13351,-198,26900,-0.74,139.27,141.54,2018-04-13,IC1804,空头力量偏弱
730,12629,12484,-145,25113,-0.58,140.64,142.37,2018-04-16,IC1804,空头力量偏弱
731,10646,10551,-95,21197,-0.45,141.66,141.68,2018-04-17,IC1804,空头力量偏弱
732,8270,8040,-230,16310,-1.41,144.76,142.33,2018-04-18,IC1804,空头力量偏弱
733,3856,3688,-168,7544,-2.23,145.15,142.27,2018-04-19,IC1804,空头力量偏弱
734,0,0,0,0,0.0,0.0,0.0,2018-04-20,IC1804,多头占优
735,14010,13964,-46,27974,-0.16,139.8,142.71,2018-04-23,IC1805,空头力量偏弱
736,13782,13991,209,27773,0.75,140.22,141.74,2018-04-24,IC1805,多头占优
737,13989,14089,100,28078,0.36,140.49,143.09,2018-04-25,IC1805,多头占优
738,14324,14341,17,28665,0.06,141.98,144.92,2018-04-26,IC1805,多头占优
739,14450,14507,57,28957,0.2,141.72,145.2,2018-04-27,IC1805,多头占优
740,14515,14508,-7,29023,-0.02,142.76,145.03,2018-05-02,IC1805,空头力量偏弱
741,14969,15222,253,30191,0.84,142.08,144.9,2018-05-03,IC1805,多头占优
742,14554,14999,445,29553,1.51,143.62,145.84,2018-05-04,IC1805,多头占优
743,14471,15054,583,29525,1.97,143.24,145.51,2018-05-07,IC1805,多头占优
744,13795,14400,605,28195,2.15,143.76,145.92,2018-05-08,IC1805,多头占优
745,13528,14063,535,27591,1.94,143.47,145.76,2018-05-09,IC1805,多头占优
746,13398,13901,503,27299,1.84,143.9,145.49,2018-05-10,IC1805,多头占优
747,13061,13266,205,26327,0.78,143.86,145.36,2018-05-11,IC1805,多头占优
748,12044,12126,82,24170,0.34,145.18,146.91,2018-05-14,IC1805,多头占优
749,10669,10509,-160,21178,-0.76,145.94,144.02,2018-05-15,IC1805,空头力量偏弱
750,7898,7815,-83,15713,-0.53,149.07,142.18,2018-05-16,IC1805,空头力量偏弱
751,3702,3816,114,7518,1.52,143.32,137.01,2018-05-17,IC1805,多头占优
752,22791,22142,-649,44933,-1.44,141.83,149.2,2018-05-18,IC1806,空头力量偏弱
753,22504,21882,-622,44386,-1.4,142.39,149.6,2018-05-21,IC1806,空头力量偏弱
754,21875,21507,-368,43382,-0.85,142.61,150.27,2018-05-22,IC1806,空头力量偏弱
755,21822,21276,-546,43098,-1.27,142.46,150.53,2018-05-23,IC1806,空头力量偏弱
756,21714,21103,-611,42817,-1.43,142.19,150.41,2018-05-24,IC1806,空头力量偏弱
757,22356,21489,-867,43845,-1.98,140.63,151.38,2018-05-25,IC1806,空头力量偏弱
758,22626,21467,-1159,44093,-2.63,141.31,150.27,2018-05-28,IC1806,空头力量偏弱
759,22337,21422,-915,43759,-2.09,140.85,149.95,2018-05-29,IC1806,空头力量偏弱
760,22733,21563,-1170,44296,-2.64,140.95,149.62,2018-05-30,IC1806,空头力量偏弱
761,22131,21147,-984,43278,-2.27,140.66,150.29,2018-05-31,IC1806,空头力量偏弱
762,21775,20821,-954,42596,-2.24,140.35,150.47,2018-06-01,IC1806,空头力量偏弱
763,21299,20446,-853,41745,-2.04,141.05,149.83,2018-06-04,IC1806,空头力量偏弱
764,20531,19864,-667,40395,-1.65,141.12,148.39,2018-06-05,IC1806,空头力量偏弱
765,19680,19145,-535,38825,-1.38,141.45,148.9,2018-06-06,IC1806,空头力量偏弱
766,18922,18661,-261,37583,-0.69,141.19,147.82,2018-06-07,IC1806,空头力量偏弱
767,17354,16983,-371,34337,-1.08,140.64,146.31,2018-06-08,IC1806,空头力量偏弱
768,15237,14967,-270,30204,-0.89,139.99,143.24,2018-06-11,IC1806,空头力量偏弱
769,12436,12021,-415,24457,-1.7,141.0,142.39,2018-06-12,IC1806,空头力量偏弱
770,9132,8829,-303,17961,-1.69,142.17,144.23,2018-06-13,IC1806,空头力量偏弱
771,4933,4762,-171,9695,-1.76,148.4,145.1,2018-06-14,IC1806,空头力量偏弱
772,0,0,0,0,0.0,0.0,0.0,2018-06-15,IC1806,多头占优
773,18610,18130,-480,36740,-1.31,143.99,149.84,2018-06-19,IC1807,空头力量偏弱
774,18601,18191,-410,36792,-1.11,145.95,148.69,2018-06-20,IC1807,空头力量偏弱
775,19128,18738,-390,37866,-1.03,146.22,149.0,2018-06-21,IC1807,空头力量偏弱
776,19576,19274,-302,38850,-0.78,146.32,149.65,2018-06-22,IC1807,空头力量偏弱
777,19277,18745,-532,38022,-1.4,145.36,149.44,2018-06-25,IC1807,空头力量偏弱
778,19777,19458,-319,39235,-0.81,145.43,148.68,2018-06-26,IC1807,空头力量偏弱
779,19579,19204,-375,38783,-0.97,144.7,149.39,2018-06-27,IC1807,空头力量偏弱
780,19709,19406,-303,39115,-0.77,144.34,148.18,2018-06-28,IC1807,空头力量偏弱
781,19832,19781,-51,39613,-0.13,143.94,147.4,2018-06-29,IC1807,空头力量偏弱
782,19764,19317,-447,39081,-1.14,143.95,147.87,2018-07-02,IC1807,空头力量偏弱
783,20240,20021,-219,40261,-0.54,143.91,145.5,2018-07-03,IC1807,空头力量偏弱
784,19929,19205,-724,39134,-1.85,142.93,145.55,2018-07-04,IC1807,空头力量偏弱
785,19776,19277,-499,39053,-1.28,142.01,143.69,2018-07-05,IC1807,空头力量偏弱
786,19733,19261,-472,38994,-1.21,141.49,142.81,2018-07-06,IC1807,空头力量偏弱
787,18398,18001,-397,36399,-1.09,142.56,141.55,2018-07-09,IC1807,空头力量偏弱
788,17790,17518,-272,35308,-0.77,142.58,141.16,2018-07-10,IC1807,空头力量偏弱
789,17397,17152,-245,34549,-0.71,144.67,140.46,2018-07-11,IC1807,空头力量偏弱
790,16273,15994,-279,32267,-0.86,142.39,140.29,2018-07-12,IC1807,空头力量偏弱
791,14998,14798,-200,29796,-0.67,141.24,140.62,2018-07-13,IC1807,空头力量偏弱
792,13383,13305,-78,26688,-0.29,142.06,141.52,2018-07-16,IC1807,空头力量偏弱
793,11197,11184,-13,22381,-0.06,143.41,139.67,2018-07-17,IC1807,空头力量偏弱
794,7844,7944,100,15788,0.63,146.9,139.62,2018-07-18,IC1807,多头占优
795,3702,3780,78,7482,1.04,147.94,149.22,2018-07-19,IC1807,多头占优
796,16421,15521,-900,31942,-2.82,142.85,142.8,2018-07-20,IC1808,空头力量偏弱
797,16573,16087,-486,32660,-1.49,142.94,141.91,2018-07-23,IC1808,空头力量偏弱
798,16553,16212,-341,32765,-1.04,141.73,140.3,2018-07-24,IC1808,空头力量偏弱
799,15611,15188,-423,30799,-1.37,142.55,141.28,2018-07-25,IC1808,空头力量偏弱
800,16119,15805,-314,31924,-0.98,142.49,140.09,2018-07-26,IC1808,空头力量偏弱
801,15938,15575,-363,31513,-1.15,142.19,139.56,2018-07-27,IC1808,空头力量偏弱
802,16164,15984,-180,32148,-0.56,143.0,140.18,2018-07-30,IC1808,空头力量偏弱
803,16237,15946,-291,32183,-0.9,143.25,140.14,2018-07-31,IC1808,空头力量偏弱
804,16576,15897,-679,32473,-2.09,142.47,140.77,2018-08-01,IC1808,空头力量偏弱
805,16067,16119,52,32186,0.16,143.6,143.01,2018-08-02,IC1808,多头占优
806,15181,15426,245,30607,0.8,144.07,143.37,2018-08-03,IC1808,多头占优
807,15178,15112,-66,30290,-0.22,142.78,143.17,2018-08-06,IC1808,空头力量偏弱
808,14607,14685,78,29292,0.27,142.21,140.93,2018-08-07,IC1808,多头占优
809,14376,14699,323,29075,1.11,143.24,142.17,2018-08-08,IC1808,多头占优
810,13818,14167,349,27985,1.25,142.46,138.53,2018-08-09,IC1808,多头占优
811,12901,13363,462,26264,1.76,142.54,138.95,2018-08-10,IC1808,多头占优
812,12070,12321,251,24391,1.03,142.89,136.44,2018-08-13,IC1808,多头占优
813,9899,10054,155,19953,0.78,144.41,137.35,2018-08-14,IC1808,多头占优
814,7508,7925,417,15433,2.7,146.06,139.56,2018-08-15,IC1808,多头占优
815,3544,3844,300,7388,4.06,146.02,138.94,2018-08-16,IC1808,多头占优
816,26702,27234,532,53936,0.99,139.53,146.27,2018-08-17,IC1809,多头占优
817,27475,28060,585,55535,1.05,140.17,145.93,2018-08-20,IC1809,多头占优
818,27444,28259,815,55703,1.46,140.32,146.79,2018-08-21,IC1809,多头占优
819,26381,27283,902,53664,1.68,139.34,145.69,2018-08-22,IC1809,多头占优
820,26459,27405,946,53864,1.76,140.38,144.45,2018-08-23,IC1809,多头占优
821,25391,26268,877,51659,1.7,140.06,144.47,2018-08-24,IC1809,多头占优
822,25090,26304,1214,51394,2.36,141.01,143.1,2018-08-27,IC1809,多头占优
823,24206,25246,1040,49452,2.1,141.09,142.49,2018-08-28,IC1809,多头占优
824,24713,25398,685,50111,1.37,140.68,142.85,2018-08-29,IC1809,多头占优
825,24755,25380,625,50135,1.25,140.75,143.4,2018-08-30,IC1809,多头占优
826,24817,25310,493,50127,0.98,140.78,143.03,2018-08-31,IC1809,多头占优
827,24667,25246,579,49913,1.16,141.13,142.7,2018-09-03,IC1809,多头占优
828,24266,24952,686,49218,1.39,141.24,141.85,2018-09-04,IC1809,多头占优
829,23433,24242,809,47675,1.7,140.94,141.65,2018-09-05,IC1809,多头占优
830,23485,24339,854,47824,1.79,140.88,140.89,2018-09-06,IC1809,多头占优
831,23761,24454,693,48215,1.44,141.9,141.49,2018-09-07,IC1809,多头占优
832,22576,23220,644,45796,1.41,143.36,140.57,2018-09-10,IC1809,多头占优
833,21488,22435,947,43923,2.16,143.25,139.45,2018-09-11,IC1809,多头占优
834,20251,20979,728,41230,1.77,144.06,138.53,2018-09-12,IC1809,多头占优
835,19618,20238,620,39856,1.56,144.01,137.41,2018-09-13,IC1809,多头占优
836,18207,18992,785,37199,2.11,146.25,135.95,2018-09-14,IC1809,多头占优
837,15870,16512,642,32382,1.98,146.7,136.4,2018-09-17,IC1809,多头占优
838,13078,13388,310,26466,1.17,146.56,137.2,2018-09-18,IC1809,多头占优
839,8949,9310,361,18259,1.98,147.43,139.28,2018-09-19,IC1809,多头占优
840,4447,4556,109,9003,1.21,146.09,138.05,2018-09-20,IC1809,多头占优
841,18547,18955,408,37502,1.09,142.43,138.44,2018-09-21,IC1810,多头占优
842,18119,18329,210,36448,0.58,143.14,138.29,2018-09-25,IC1810,多头占优
843,18394,18865,471,37259,1.26,142.02,138.28,2018-09-26,IC1810,多头占优
844,18316,18639,323,36955,0.87,143.15,138.27,2018-09-27,IC1810,多头占优
845,18353,18766,413,37119,1.11,142.96,138.9,2018-09-28,IC1810,多头占优
846,17732,18108,376,35840,1.05,142.96,139.03,2018-10-08,IC1810,多头占优
847,17616,17866,250,35482,0.7,141.83,139.37,2018-10-09,IC1810,多头占优
848,17527,17484,-43,35011,-0.12,140.89,141.58,2018-10-10,IC1810,空头力量偏弱
849,17958,18056,98,36014,0.27,143.66,146.15,2018-10-11,IC1810,多头占优
850,17197,17635,438,34832,1.26,143.76,145.26,2018-10-12,IC1810,多头占优
851,14174,14737,563,28911,1.95,144.52,144.09,2018-10-15,IC1810,多头占优
852,12042,12767,725,24809,2.92,144.53,143.25,2018-10-16,IC1810,多头占优
853,8574,9181,607,17755,3.42,143.82,143.01,2018-10-17,IC1810,多头占优
854,3930,4243,313,8173,3.83,146.17,142.16,2018-10-18,IC1810,多头占优
855,14498,15187,689,29685,2.32,144.22,142.27,2018-10-19,IC1811,多头占优
856,15509,16138,629,31647,1.99,142.84,139.54,2018-10-22,IC1811,多头占优
857,15005,16108,1103,31113,3.55,143.51,141.63,2018-10-23,IC1811,多头占优
858,15289,16401,1112,31690,3.51,143.52,141.19,2018-10-24,IC1811,多头占优
859,15880,16989,1109,32869,3.37,141.43,140.18,2018-10-25,IC1811,多头占优
860,15144,16418,1274,31562,4.04,141.24,141.86,2018-10-26,IC1811,多头占优
861,15511,16344,833,31855,2.61,143.34,142.63,2018-10-29,IC1811,多头占优
862,16372,17404,1032,33776,3.06,142.39,142.57,2018-10-30,IC1811,多头占优
863,16223,17143,920,33366,2.76,141.41,141.11,2018-10-31,IC1811,多头占优
864,16695,17682,987,34377,2.87,142.74,141.52,2018-11-01,IC1811,多头占优
865,16242,17297,1055,33539,3.15,142.49,139.82,2018-11-02,IC1811,多头占优
866,15415,16531,1116,31946,3.49,142.29,139.72,2018-11-05,IC1811,多头占优
867,14993,15826,833,30819,2.7,141.31,141.78,2018-11-06,IC1811,多头占优
868,15483,16038,555,31521,1.76,141.34,139.55,2018-11-07,IC1811,多头占优
869,15123,15611,488,30734,1.59,140.77,140.24,2018-11-08,IC1811,多头占优
870,14550,14879,329,29429,1.12,141.25,140.7,2018-11-09,IC1811,多头占优
871,13794,14049,255,27843,0.92,141.8,140.69,2018-11-12,IC1811,多头占优
872,12900,13083,183,25983,0.7,138.05,140.9,2018-11-13,IC1811,多头占优
873,9730,9765,35,19495,0.18,139.54,144.59,2018-11-14,IC1811,多头占优
874,4861,5091,230,9952,2.31,145.92,142.91,2018-11-15,IC1811,多头占优
875,33993,33405,-588,67398,-0.87,143.03,153.19,2018-11-16,IC1812,空头力量偏弱
876,34398,33718,-680,68116,-1.0,142.51,152.52,2018-11-19,IC1812,空头力量偏弱
877,32266,32551,285,64817,0.44,143.54,153.99,2018-11-20,IC1812,多头占优
878,32428,32823,395,65251,0.61,142.61,153.23,2018-11-21,IC1812,多头占优
879,31849,32423,574,64272,0.89,142.7,153.56,2018-11-22,IC1812,多头占优
880,31561,32298,737,63859,1.15,142.55,152.86,2018-11-23,IC1812,多头占优
881,30827,31716,889,62543,1.42,143.16,152.9,2018-11-26,IC1812,多头占优
882,30890,31744,854,62634,1.36,142.78,152.68,2018-11-27,IC1812,多头占优
883,30207,31032,825,61239,1.35,142.09,151.76,2018-11-28,IC1812,多头占优
884,29692,30401,709,60093,1.18,143.28,152.1,2018-11-29,IC1812,多头占优
885,30326,31089,763,61415,1.24,145.22,151.34,2018-11-30,IC1812,多头占优
886,30059,31142,1083,61201,1.77,144.8,150.71,2018-12-03,IC1812,多头占优
887,31688,32133,445,63821,0.7,145.23,148.2,2018-12-04,IC1812,多头占优
888,32802,33353,551,66155,0.83,144.99,147.09,2018-12-05,IC1812,多头占优
889,31014,31637,623,62651,0.99,143.55,146.33,2018-12-06,IC1812,多头占优
890,29018,29710,692,58728,1.18,142.8,144.94,2018-12-07,IC1812,多头占优
891,29091,29524,433,58615,0.74,143.09,145.13,2018-12-10,IC1812,多头占优
892,28107,28571,464,56678,0.82,143.74,145.42,2018-12-11,IC1812,多头占优
893,27485,27646,161,55131,0.29,143.62,145.4,2018-12-12,IC1812,多头占优
894,26991,27245,254,54236,0.47,142.8,144.7,2018-12-13,IC1812,多头占优
895,25195,25391,196,50586,0.39,142.76,145.07,2018-12-14,IC1812,多头占优
896,23014,23103,89,46117,0.19,143.85,144.0,2018-12-17,IC1812,多头占优
897,20525,20629,104,41154,0.25,143.86,142.36,2018-12-18,IC1812,多头占优
898,15179,15505,326,30684,1.06,147.63,143.9,2018-12-19,IC1812,多头占优
899,7401,7878,477,15279,3.12,149.64,144.48,2018-12-20,IC1812,多头占优
900,28017,28854,837,56871,1.47,141.88,147.23,2018-12-21,IC1901,多头占优
901,27670,28780,1110,56450,1.97,141.57,146.83,2018-12-24,IC1901,多头占优
902,30281,31616,1335,61897,2.16,142.62,145.35,2018-12-25,IC1901,多头占优
903,28687,29751,1064,58438,1.82,142.78,145.29,2018-12-26,IC1901,多头占优
904,29369,30531,1162,59900,1.94,143.52,145.02,2018-12-27,IC1901,多头占优
905,29456,30521,1065,59977,1.78,144.66,145.29,2018-12-28,IC1901,多头占优
906,29314,30027,713,59341,1.2,144.05,144.66,2019-01-02,IC1901,多头占优
907,29789,30903,1114,60692,1.84,144.67,142.83,2019-01-03,IC1901,多头占优
908,29129,30690,1561,59819,2.61,144.62,141.52,2019-01-04,IC1901,多头占优
909,28416,29344,928,57760,1.61,145.19,141.62,2019-01-07,IC1901,多头占优
910,28276,28703,427,56979,0.75,144.05,140.16,2019-01-08,IC1901,多头占优
911,28394,29214,820,57608,1.42,144.13,136.12,2019-01-09,IC1901,多头占优
912,26854,27149,295,54003,0.55,142.96,135.34,2019-01-10,IC1901,多头占优
913,26185,26451,266,52636,0.51,143.0,135.72,2019-01-11,IC1901,多头占优
914,22848,22997,149,45845,0.33,142.93,135.97,2019-01-14,IC1901,多头占优
915,21036,21706,670,42742,1.57,143.17,139.07,2019-01-15,IC1901,多头占优
916,15580,16195,615,31775,1.94,146.54,140.82,2019-01-16,IC1901,多头占优
917,7627,7993,366,15620,2.34,150.63,144.13,2019-01-17,IC1901,多头占优
918,22059,21903,-156,43962,-0.35,143.75,139.84,2019-01-18,IC1902,空头力量偏弱
919,21840,21274,-566,43114,-1.31,144.98,139.55,2019-01-21,IC1902,空头力量偏弱
920,21061,20135,-926,41196,-2.25,146.28,140.06,2019-01-22,IC1902,空头力量偏弱
921,20459,19905,-554,40364,-1.37,146.15,141.32,2019-01-23,IC1902,空头力量偏弱
922,22201,21700,-501,43901,-1.14,144.36,139.27,2019-01-24,IC1902,空头力量偏弱
923,21311,20924,-387,42235,-0.92,145.02,140.55,2019-01-25,IC1902,空头力量偏弱
924,21081,21014,-67,42095,-0.16,144.72,140.08,2019-01-28,IC1902,空头力量偏弱
925,21294,20941,-353,42235,-0.84,144.91,141.45,2019-01-29,IC1902,空头力量偏弱
926,19561,19759,198,39320,0.5,142.72,141.83,2019-01-30,IC1902,多头占优
927,20004,20105,101,40109,0.25,144.07,141.2,2019-01-31,IC1902,多头占优
928,17616,18720,1104,36336,3.04,142.8,140.49,2019-02-01,IC1902,多头占优
929,15914,16852,938,32766,2.86,143.98,142.09,2019-02-11,IC1902,多头占优
930,14401,15299,898,29700,3.02,142.59,144.82,2019-02-12,IC1902,多头占优
931,11660,12136,476,23796,2.0,144.73,142.41,2019-02-13,IC1902,多头占优
932,5446,5951,505,11397,4.43,145.14,144.01,2019-02-14,IC1902,多头占优
933,43279,43497,218,86776,0.25,140.99,142.57,2019-02-15,IC1903,多头占优
934,43510,44304,794,87814,0.9,141.71,141.72,2019-02-18,IC1903,多头占优
935,44864,44651,-213,89515,-0.24,141.86,141.54,2019-02-19,IC1903,空头力量偏弱
936,43657,43429,-228,87086,-0.26,141.85,142.05,2019-02-20,IC1903,空头力量偏弱
937,45968,45233,-735,91201,-0.81,142.33,140.93,2019-02-21,IC1903,空头力量偏弱
938,43768,44351,583,88119,0.66,142.19,142.92,2019-02-22,IC1903,多头占优
939,44695,43913,-782,88608,-0.88,142.64,141.43,2019-02-25,IC1903,空头力量偏弱
940,43993,44294,301,88287,0.34,144.87,141.97,2019-02-26,IC1903,多头占优
941,42568,44011,1443,86579,1.67,145.33,142.42,2019-02-27,IC1903,多头占优
942,40257,41479,1222,81736,1.5,145.33,142.26,2019-02-28,IC1903,多头占优
943,40345,40876,531,81221,0.65,143.74,141.88,2019-03-01,IC1903,多头占优
944,40580,40653,73,81233,0.09,145.58,143.57,2019-03-04,IC1903,多头占优
945,37329,37950,621,75279,0.82,142.9,143.83,2019-03-05,IC1903,多头占优
946,39334,38510,-824,77844,-1.06,144.18,142.33,2019-03-06,IC1903,空头力量偏弱
947,38514,37930,-584,76444,-0.76,144.17,141.26,2019-03-07,IC1903,空头力量偏弱
948,36759,38915,2156,75674,2.85,145.07,145.58,2019-03-08,IC1903,多头占优
949,34705,36996,2291,71701,3.2,147.97,147.04,2019-03-11,IC1903,多头占优
950,29818,31977,2159,61795,3.49,144.45,144.14,2019-03-12,IC1903,多头占优
951,22705,24267,1562,46972,3.33,142.59,145.6,2019-03-13,IC1903,多头占优
952,11677,12818,1141,24495,4.66,143.67,141.29,2019-03-14,IC1903,多头占优
953,40094,42600,2506,82694,3.03,142.96,139.0,2019-03-15,IC1904,多头占优
954,39609,42071,2462,81680,3.01,144.12,139.63,2019-03-18,IC1904,多头占优
955,38323,40621,2298,78944,2.91,144.44,139.51,2019-03-19,IC1904,多头占优
956,40313,42082,1769,82395,2.15,143.05,140.68,2019-03-20,IC1904,多头占优
957,41401,43097,1696,84498,2.01,143.9,140.42,2019-03-21,IC1904,多头占优
958,40684,42840,2156,83524,2.58,145.27,140.44,2019-03-22,IC1904,多头占优
959,41521,43819,2298,85340,2.69,144.73,142.25,2019-03-25,IC1904,多头占优
960,41646,44237,2591,85883,3.02,144.36,141.17,2019-03-26,IC1904,多头占优
961,41556,43973,2417,85529,2.83,144.18,141.92,2019-03-27,IC1904,多头占优
962,41579,44129,2550,85708,2.98,142.81,141.9,2019-03-28,IC1904,多头占优
963,39994,43327,3333,83321,4.0,145.79,141.9,2019-03-29,IC1904,多头占优
964,39103,43286,4183,82389,5.08,146.14,142.04,2019-04-01,IC1904,多头占优
965,38662,42455,3793,81117,4.68,146.49,142.7,2019-04-02,IC1904,多头占优
966,38016,42401,4385,80417,5.45,148.74,141.86,2019-04-03,IC1904,多头占优
967,38162,42166,4004,80328,4.98,148.73,141.83,2019-04-04,IC1904,多头占优
968,37607,40588,2981,78195,3.81,147.14,141.36,2019-04-08,IC1904,多头占优
969,37360,39991,2631,77351,3.4,147.81,141.37,2019-04-09,IC1904,多头占优
970,37194,39836,2642,77030,3.43,146.14,141.28,2019-04-10,IC1904,多头占优
971,34680,37265,2585,71945,3.59,146.35,142.37,2019-04-11,IC1904,多头占优
972,33351,36261,2910,69612,4.18,146.42,141.7,2019-04-12,IC1904,多头占优
973,29841,31860,2019,61701,3.27,144.01,144.12,2019-04-15,IC1904,多头占优
974,26158,28359,2201,54517,4.04,145.02,142.25,2019-04-16,IC1904,多头占优
975,20528,21868,1340,42396,3.16,147.28,144.19,2019-04-17,IC1904,多头占优
976,11318,11751,433,23069,1.88,144.05,139.42,2019-04-18,IC1904,多头占优
977,32268,35108,2840,67376,4.22,145.27,139.31,2019-04-19,IC1905,多头占优
978,33119,35924,2805,69043,4.06,144.68,142.32,2019-04-22,IC1905,多头占优
979,37118,40440,3322,77558,4.28,143.41,142.06,2019-04-23,IC1905,多头占优
980,37008,40675,3667,77683,4.72,141.69,141.63,2019-04-24,IC1905,多头占优
981,39197,43323,4126,82520,5.0,142.02,143.93,2019-04-25,IC1905,多头占优
982,40292,43732,3440,84024,4.09,142.34,142.6,2019-04-26,IC1905,多头占优
983,44263,49040,4777,93303,5.12,143.23,143.29,2019-04-29,IC1905,多头占优
984,41851,45385,3534,87236,4.05,145.38,144.46,2019-04-30,IC1905,多头占优
985,43802,47227,3425,91029,3.76,144.71,143.39,2019-05-06,IC1905,多头占优
